0-9.0978e+07i,0+9.0978e+07i,8.1491e-10-1.6202e+07i,8.1491e-10+1.6202e+07i,9.3132e-10-1.0136e+07i,9.3132e-10+1.0136e+07i,-5.8208e-10-6.2297e+06i,-5.8208e-10+6.2297e+06i,5.8208e-10-4.6233e+06i,5.8208e-10+4.6233e+06i,2.3283e-10-3.1724e+06i,2.3283e-10+3.1724e+06i,-8.7311e-10-1.6661e+06i,-8.7311e-10+1.6661e+06i,-1.4418e-10
-8.3503e-11-2.9601e+07i,-8.3503e-11+2.9601e+07i,-5.8208e-11-2.1346e+07i,-5.8208e-11+2.1346e+07i,-2.3283e-10-7.9987e+06i,-2.3283e-10+7.9987e+06i,-4.0745e-10-5.3675e+06i,-4.0745e-10+5.3675e+06i,5.9663e-10-1.8655e+06i,5.9663e-10+1.8655e+06i,2.3283e-10-7.8501e+05i,2.3283e-10+7.8501e+05i,2.0373e-10-4.2722e+05i,2.0373e-10+4.2722e+05i,-2.4262e-10
3.2742e-11-3.8637e+07i,3.2742e-11+3.8637e+07i,-1.688e-09-2.427e+07i,-1.688e-09+2.427e+07i,-4.9477e-10-8.5278e+06i,-4.9477e-10+8.5278e+06i,-4.3656e-11-6.1599e+06i,-4.3656e-11+6.1599e+06i,5.8208e-10-2.5286e+06i,5.8208e-10+2.5286e+06i,1.135e-09-1.136e+06i,1.135e-09+1.136e+06i,-4.9477e-10-2.0018e+05i,-4.9477e-10+2.0018e+05i,2.254e-10
-1.7462e-10-3.6097e+07i,-1.7462e-10+3.6097e+07i,0-2.5646e+07i,0+2.5646e+07i,-4.6566e-10-7.5781e+06i,-4.6566e-10+7.5781e+06i,-1.4552e-10-6.2433e+06i,-1.4552e-10+6.2433e+06i,-4.3656e-10-2.0499e+06i,-4.3656e-10+2.0499e+06i,-9.6043e-10-1.0659e+06i,-9.6043e-10+1.0659e+06i,5.1758e-10,5.4206e-10-3.4194e+05i,5.4206e-10+3.4194e+05i
0-3.3902e+07i,0+3.3902e+07i,2.6193e-10-1.2464e+07i,2.6193e-10+1.2464e+07i,-2.9104e-11-9.6776e+06i,-2.9104e-11+9.6776e+06i,8.7311e-11-5.5371e+06i,8.7311e-11+5.5371e+06i,1.7462e-10-2.8833e+06i,1.7462e-10+2.8833e+06i,-7.567e-10-2.0399e+06i,-7.567e-10+2.0399e+06i,1.3311e-09,-5.5297e-10-1.0728e+06i,-5.5297e-10+1.0728e+06i
-7.9308e-10-4.6934e+07i,-7.9308e-10+4.6934e+07i,0-2.8696e+07i,0+2.8696e+07i,-1.1642e-10-1.2819e+07i,-1.1642e-10+1.2819e+07i,8.1491e-10-1.0042e+07i,8.1491e-10+1.0042e+07i,-3.4925e-10-4.1884e+06i,-3.4925e-10+4.1884e+06i,4.0745e-10-2.8963e+06i,4.0745e-10+2.8963e+06i,-1.948e-10,9.8953e-10-1.9525e+06i,9.8953e-10+1.9525e+06i
-3.2014e-10-8.4728e+07i,-3.2014e-10+8.4728e+07i,1.2806e-09-3.2073e+07i,1.2806e-09+3.2073e+07i,-1.1642e-10-1.0128e+07i,-1.1642e-10+1.0128e+07i,0-6.9319e+06i,0+6.9319e+06i,-3.2596e-09-5.7383e+06i,-3.2596e-09+5.7383e+06i,6.4028e-10-3.1971e+06i,6.4028e-10+3.1971e+06i,-5.5042e-09,4.3656e-10-1.3661e+06i,4.3656e-10+1.3661e+06i
1.0186e-10-8.4516e+06i,1.0186e-10+8.4516e+06i,0-4.5804e+06i,0+4.5804e+06i,1.7462e-10-2.072e+06i,1.7462e-10+2.072e+06i,1.1642e-10-1.3817e+06i,1.1642e-10+1.3817e+06i,1.7462e-10-7.6963e+05i,1.7462e-10+7.6963e+05i,-1.1642e-10-5.4065e+05i,-1.1642e-10+5.4065e+05i,-1.2005e-10-2.6271e+05i,-1.2005e-10+2.6271e+05i,1.2974e-11
0-1.3055e+07i,0+1.3055e+07i,-1.7462e-10-2.4166e+06i,-1.7462e-10+2.4166e+06i,5.0932e-11-1.6722e+06i,5.0932e-11+1.6722e+06i,5.8208e-11-1.0076e+06i,5.8208e-11+1.0076e+06i,-7.276e-11-6.0579e+05i,-7.276e-11+6.0579e+05i,1.2733e-11-1.6439e+05i,1.2733e-11+1.6439e+05i,2.0009e-11-91495i,2.0009e-11+91495i,-1.1035e-10
-3.638e-11-3.5559e+06i,-3.638e-11+3.5559e+06i,0-1.1603e+06i,0+1.1603e+06i,0-6.129e+05i,0+6.129e+05i,2.1828e-11-4.6503e+05i,2.1828e-11+4.6503e+05i,1.4552e-11-1.6336e+05i,1.4552e-11+1.6336e+05i,-5.0932e-11-86476i,-5.0932e-11+86476i,4.0757e-11,-1.819e-11-52189i,-1.819e-11+52189i
0-1.1849e+06i,0+1.1849e+06i,-2.7167e-70-6.5678e+05i,-2.7167e-70+6.5678e+05i,-5.457e-12-2.8716e+05i,-5.457e-12+2.8716e+05i,-2.1828e-11-2.1008e+05i,-2.1828e-11+2.1008e+05i,0-1.2429e+05i,0+1.2429e+05i,-1.0914e-11-80093i,-1.0914e-11+80093i,-4.5475e-12-29017i,-4.5475e-12+29017i,8.1562e-13
0-9.5937e+05i,0+9.5937e+05i,3.4561e-11-6.1683e+05i,3.4561e-11+6.1683e+05i,-1.0573e-11-2.6039e+05i,-1.0573e-11+2.6039e+05i,1.1141e-11-1.3659e+05i,1.1141e-11+1.3659e+05i,5.457e-12-57740i,5.457e-12+57740i,-1.0004e-11-34682i,-1.0004e-11+34682i,-9.7883e-12,1.2278e-11-14471i,1.2278e-11+14471i
4.5475e-12-2.2588e+05i,4.5475e-12+2.2588e+05i,-2.7285e-12-63603i,-2.7285e-12+63603i,4.5475e-12-33147i,4.5475e-12+33147i,-1.819e-12-18685i,-1.819e-12+18685i,-6.8212e-13-8976i,-6.8212e-13+8976i,1.9327e-12-5097.5i,1.9327e-12+5097.5i,-2.9296e-12,4.5475e-13-3180.6i,4.5475e-13+3180.6i
7.276e-12-2.2833e+05i,7.276e-12+2.2833e+05i,-3.638e-12-65498i,-3.638e-12+65498i,-1.1013e-13-24889i,-1.1013e-13+24889i,1.1369e-13-14089i,1.1369e-13+14089i,3.1832e-12-7132.4i,3.1832e-12+7132.4i,1.7053e-12-4814.4i,1.7053e-12+4814.4i,3.979e-13-2551.7i,3.979e-13+2551.7i,2.1206e-14
-2.2737e-12-2.0705e+05i,-2.2737e-12+2.0705e+05i,-4.5475e-13-51662i,-4.5475e-13+51662i,2.2737e-13-34898i,2.2737e-13+34898i,2.2737e-13-16240i,2.2737e-13+16240i,0-7102.5i,0+7102.5i,2.629e-13-4156.3i,2.629e-13+4156.3i,-2.7152e-12,-8.5265e-14-1496.9i,-8.5265e-14+1496.9i
-1.2733e-11-2.3473e+05i,-1.2733e-11+2.3473e+05i,-3.8085e-12-51919i,-3.8085e-12+51919i,-1.1369e-12-30943i,-1.1369e-12+30943i,0-15014i,0+15014i,9.0949e-13-9585.9i,9.0949e-13+9585.9i,4.5475e-13-6229.1i,4.5475e-13+6229.1i,6.1725e-13,2.5011e-12-2269.6i,2.5011e-12+2269.6i
4.5475e-12-2.2105e+05i,4.5475e-12+2.2105e+05i,-6.8212e-13-54078i,-6.8212e-13+54078i,3.1832e-12-22066i,3.1832e-12+22066i,1.2506e-12-15254i,1.2506e-12+15254i,-1.4779e-12-9024.9i,-1.4779e-12+9024.9i,9.0949e-13-3221.2i,9.0949e-13+3221.2i,-3.6364e-13,-1.0232e-12-510.13i,-1.0232e-12+510.13i
-2.2737e-12-2.1785e+05i,-2.2737e-12+2.1785e+05i,2.7285e-12-50011i,2.7285e-12+50011i,-7.7488e-55-21688i,-7.7488e-55+21688i,-7.3896e-13-13212i,-7.3896e-13+13212i,2.0464e-12-8852.5i,2.0464e-12+8852.5i,-6.2528e-13-5919.3i,-6.2528e-13+5919.3i,-4.1897e-13,7.9581e-13-3782.7i,7.9581e-13+3782.7i
5.5879e-09-1.6069e+08i,5.5879e-09+1.6069e+08i,0-3.6488e+07i,0+3.6488e+07i,1.9791e-09-1.1361e+07i,1.9791e-09+1.1361e+07i,1.1642e-10-6.9258e+06i,1.1642e-10+6.9258e+06i,-1.1642e-10-4.4297e+06i,-1.1642e-10+4.4297e+06i,1.9791e-09-1.6265e+06i,1.9791e-09+1.6265e+06i,4.8021e-10-3.9237e+05i,4.8021e-10+3.9237e+05i,2.8507e-09
-9.8225e-11-8.5182e+07i,-9.8225e-11+8.5182e+07i,0-1.5791e+07i,0+1.5791e+07i,9.3132e-10-1.1503e+07i,9.3132e-10+1.1503e+07i,-3.4925e-10-6.1103e+06i,-3.4925e-10+6.1103e+06i,5.366e-11-4.5382e+06i,5.366e-11+4.5382e+06i,-2.583e-10-3.3181e+06i,-2.583e-10+3.3181e+06i,6.9849e-10-1.3974e+06i,6.9849e-10+1.3974e+06i,7.69e-10
9.3132e-10-1.5112e+08i,9.3132e-10+1.5112e+08i,9.3132e-10-5.0618e+07i,9.3132e-10+5.0618e+07i,0-1.5287e+07i,0+1.5287e+07i,1.1642e-09-8.739e+06i,1.1642e-09+8.739e+06i,2.0336e-09-5.3269e+06i,2.0336e-09+5.3269e+06i,-1.2224e-09-2.653e+06i,-1.2224e-09+2.653e+06i,1.7017e-09,-6.2573e-10-1.1372e+06i,-6.2573e-10+1.1372e+06i
-2.794e-09-1.4057e+08i,-2.794e-09+1.4057e+08i,1.397e-09-2.6049e+07i,1.397e-09+2.6049e+07i,5.8208e-11-1.1039e+07i,5.8208e-11+1.1039e+07i,1.0477e-09-5.2111e+06i,1.0477e-09+5.2111e+06i,-8.7311e-10-4.1797e+06i,-8.7311e-10+4.1797e+06i,5.8208e-11-3.1994e+06i,5.8208e-11+3.1994e+06i,2.1246e-09-8.4192e+05i,2.1246e-09+8.4192e+05i,-8.9141e-10
-5.5879e-09-1.3738e+08i,-5.5879e-09+1.3738e+08i,-1.6298e-09-2.6966e+07i,-1.6298e-09+2.6966e+07i,-1.8917e-09-1.0283e+07i,-1.8917e-09+1.0283e+07i,-3.4925e-10-8.0454e+06i,-3.4925e-10+8.0454e+06i,-3.4925e-10-4.2874e+06i,-3.4925e-10+4.2874e+06i,-1.7462e-10-2.8195e+06i,-1.7462e-10+2.8195e+06i,1.2058e-09,1.1059e-09-6.1668e+05i,1.1059e-09+6.1668e+05i
4.6566e-10-7.1457e+07i,4.6566e-10+7.1457e+07i,2.0955e-09-1.7962e+07i,2.0955e-09+1.7962e+07i,4.6566e-10-1.1448e+07i,4.6566e-10+1.1448e+07i,8.1491e-10-7.8425e+06i,8.1491e-10+7.8425e+06i,-1.1642e-10-4.7828e+06i,-1.1642e-10+4.7828e+06i,-1.1642e-10-2.4725e+06i,-1.1642e-10+2.4725e+06i,-2.3797e-09,1.7462e-10-9.0537e+05i,1.7462e-10+9.0537e+05i
-5.0022e-12-2.4798e+05i,-5.0022e-12+2.4798e+05i,6.3665e-12-1.2929e+05i,6.3665e-12+1.2929e+05i,0-63569i,0+63569i,4.5475e-12-35737i,4.5475e-12+35737i,4.3201e-12-17466i,4.3201e-12+17466i,-1.1369e-12-14885i,-1.1369e-12+14885i,9.0949e-13-2477.7i,9.0949e-13+2477.7i,4.6767e-12
5.457e-12-6.9305e+05i,5.457e-12+6.9305e+05i,1.819e-12-3.6875e+05i,1.819e-12+3.6875e+05i,5.457e-12-1.076e+05i,5.457e-12+1.076e+05i,-9.0949e-12-75493i,-9.0949e-12+75493i,-9.0949e-13-41284i,-9.0949e-13+41284i,-2.7285e-12-19315i,-2.7285e-12+19315i,9.9055e-12,-7.8728e-12-6531i,-7.8728e-12+6531i
-7.276e-12-5.6384e+05i,-7.276e-12+5.6384e+05i,0-2.8923e+05i,0+2.8923e+05i,3.1832e-12-1.0203e+05i,3.1832e-12+1.0203e+05i,-7.7307e-12-74275i,-7.7307e-12+74275i,-1.819e-12-34610i,-1.819e-12+34610i,-1.5689e-11-13715i,-1.5689e-11+13715i,-2.5692e-13,7.5033e-12-5576.6i,7.5033e-12+5576.6i
-1.4552e-11-2.0364e+05i,-1.4552e-11+2.0364e+05i,4.5475e-13-1.2456e+05i,4.5475e-13+1.2456e+05i,2.0464e-12-82359i,2.0464e-12+82359i,-2.7285e-12-42258i,-2.7285e-12+42258i,2.7285e-12-24423i,2.7285e-12+24423i,-7.276e-12-14734i,-7.276e-12+14734i,-5.9117e-12-8327.1i,-5.9117e-12+8327.1i,2.2177e-13
-7.9581e-13-1.0983e+05i,-7.9581e-13+1.0983e+05i,6.8212e-13-72598i,6.8212e-13+72598i,-4.5475e-13-27882i,-4.5475e-13+27882i,-6.8212e-13-11411i,-6.8212e-13+11411i,1.3927e-12-8614.6i,1.3927e-12+8614.6i,1.9327e-12-4407.3i,1.9327e-12+4407.3i,-1.195e-12,-4.6896e-13-786.21i,-4.6896e-13+786.21i
1.819e-12-2.2347e+05i,1.819e-12+2.2347e+05i,3.638e-12-1.514e+05i,3.638e-12+1.514e+05i,-1.819e-12-74273i,-1.819e-12+74273i,-1.3642e-12-36974i,-1.3642e-12+36974i,1.3074e-12-26800i,1.3074e-12+26800i,-2.7285e-12-15475i,-2.7285e-12+15475i,-4.5475e-12-8800.2i,-4.5475e-12+8800.2i,4.7794e-12
1.4495e-12-3.2854e+05i,1.4495e-12+3.2854e+05i,2.9518e-80-2.0929e+05i,2.9518e-80+2.0929e+05i,-4.4338e-12-1.2269e+05i,-4.4338e-12+1.2269e+05i,0-72018i,0+72018i,-5.0022e-12-26236i,-5.0022e-12+26236i,1.244e-11,-9.0949e-13-7397i,-9.0949e-13+7397i,-1.3642e-12-18277i,-1.3642e-12+18277i
1.4211e-14-3.4289e+05i,1.4211e-14+3.4289e+05i,-2.9559e-12-1.432e+05i,-2.9559e-12+1.432e+05i,2.7285e-12-85414i,2.7285e-12+85414i,9.0949e-13-60414i,9.0949e-13+60414i,5.0022e-12-25352i,5.0022e-12+25352i,-4.5475e-13-9625i,-4.5475e-13+9625i,-4.3876e-12,-7.9581e-13-5986.5i,-7.9581e-13+5986.5i
