1.2733e-11-1.6816e+05i,1.2733e-11+1.6816e+05i,-3.4106e-13-75774i,-3.4106e-13+75774i,7.276e-12-56346i,7.276e-12+56346i,-2.7285e-12-30856i,-2.7285e-12+30856i,1.4779e-12-23418i,1.4779e-12+23418i,0-12435i,0+12435i,-1.7621e-12-3579.6i,-1.7621e-12+3579.6i,3.4106e-12-5290.9i,3.4106e-12+5290.9i
3.979e-12-1.4222e+05i,3.979e-12+1.4222e+05i,5.4001e-12-81570i,5.4001e-12+81570i,9.0949e-13-50509i,9.0949e-13+50509i,-4.5475e-13-27700i,-4.5475e-13+27700i,4.5475e-13-16015i,4.5475e-13+16015i,0-4644.8i,0+4644.8i,-1.9043e-12-3532.5i,-1.9043e-12+3532.5i,-1.08e-12-73.082i,-1.08e-12+73.082i
0-1.061e+05i,0+1.061e+05i,5.457e-12-71739i,5.457e-12+71739i,-4.5475e-13-34630i,-4.5475e-13+34630i,1.819e-12-16672i,1.819e-12+16672i,1.3642e-12-12932i,1.3642e-12+12932i,-2.9559e-12-9489.9i,-2.9559e-12+9489.9i,-6.537e-13-2512.8i,-6.537e-13+2512.8i,-6.2386e-12-401.48i,-6.2386e-12+401.48i
1.1369e-11-1.3218e+05i,1.1369e-11+1.3218e+05i,-7.276e-12-89462i,-7.276e-12+89462i,1.08e-12-31518i,1.08e-12+31518i,-9.0949e-13-19662i,-9.0949e-13+19662i,-2.8422e-13-12081i,-2.8422e-13+12081i,-1.9753e-12-534.25i,-1.9753e-12+534.25i,1.1369e-12-5144.7i,1.1369e-12+5144.7i,-2.16e-12-4020.9i,-2.16e-12+4020.9i
-3.638e-12-1.1365e+05i,-3.638e-12+1.1365e+05i,7.276e-12-89422i,7.276e-12+89422i,1.819e-12-30995i,1.819e-12+30995i,5.4179e-13-19702i,5.4179e-13+19702i,1.5916e-12-9651.8i,1.5916e-12+9651.8i,-4.0927e-12-5489.9i,-4.0927e-12+5489.9i,4.3769e-12-1352.2i,4.3769e-12+1352.2i,2.8422e-14-3026.5i,2.8422e-14+3026.5i
0-1.068e+05i,0+1.068e+05i,3.0587e-56-78691i,3.0587e-56+78691i,2.2737e-13-31364i,2.2737e-13+31364i,-2.3874e-12-17986i,-2.3874e-12+17986i,3.979e-13-11518i,3.979e-13+11518i,1.7053e-13-5127.8i,1.7053e-13+5127.8i,3.0411e-12-2984.5i,3.0411e-12+2984.5i,1.9895e-13-945.53i,1.9895e-13+945.53i
-7.5033e-12-1.0901e+05i,-7.5033e-12+1.0901e+05i,2.2737e-12-83150i,2.2737e-12+83150i,3.4106e-13-32629i,3.4106e-13+32629i,9.0949e-13-17272i,9.0949e-13+17272i,5.457e-12-12749i,5.457e-12+12749i,-1.5916e-12-7208.3i,-1.5916e-12+7208.3i,6.2528e-13-1552.7i,6.2528e-13+1552.7i,2.2737e-13-4095.3i,2.2737e-13+4095.3i
-4.5475e-13-1.0734e+05i,-4.5475e-13+1.0734e+05i,7.276e-12-88122i,7.276e-12+88122i,2.2737e-12-32222i,2.2737e-12+32222i,5.6843e-13-17302i,5.6843e-13+17302i,-3.979e-13-12714i,-3.979e-13+12714i,1.3642e-12-7668.7i,1.3642e-12+7668.7i,3.4106e-12-868.69i,3.4106e-12+868.69i,6.8212e-13-1918i,6.8212e-13+1918i
-1.5916e-12-1.4312e+05i,-1.5916e-12+1.4312e+05i,0-82215i,0+82215i,0-42309i,0+42309i,2.7285e-12-29233i,2.7285e-12+29233i,-1.819e-12-11837i,-1.819e-12+11837i,-2.2737e-13-10283i,-2.2737e-13+10283i,1.2896e-12-410.46i,1.2896e-12+410.46i,1.819e-12-6895.3i,1.819e-12+6895.3i
7.276e-12-2.5265e+05i,7.276e-12+2.5265e+05i,-3.1264e-13-61381i,-3.1264e-13+61381i,1.819e-12-40960i,1.819e-12+40960i,9.0949e-13-19010i,9.0949e-13+19010i,4.5475e-13-8925.5i,4.5475e-13+8925.5i,2.9559e-12-5659.6i,2.9559e-12+5659.6i,-3.638e-12-4497.7i,-3.638e-12+4497.7i,3.3893e-12-219.66i,3.3893e-12+219.66i
3.638e-12-1.2362e+05i,3.638e-12+1.2362e+05i,-6.2528e-12-69852i,-6.2528e-12+69852i,3.638e-12-40011i,3.638e-12+40011i,-9.0949e-13-30647i,-9.0949e-13+30647i,-9.0949e-13-19620i,-9.0949e-13+19620i,3.1832e-12-13719i,3.1832e-12+13719i,7.9581e-13-4387.7i,7.9581e-13+4387.7i,1.2506e-12-707.51i,1.2506e-12+707.51i
1.819e-12-1.8879e+05i,1.819e-12+1.8879e+05i,7.7307e-12-1.1473e+05i,7.7307e-12+1.1473e+05i,4.5475e-13-52167i,4.5475e-13+52167i,5.457e-12-33717i,5.457e-12+33717i,4.5475e-12-20629i,4.5475e-12+20629i,-3.4106e-12-9643.3i,-3.4106e-12+9643.3i,-4.0927e-12-4297.8i,-4.0927e-12+4297.8i,-2.9559e-12-3009.8i,-2.9559e-12+3009.8i
-1.4552e-11-1.759e+05i,-1.4552e-11+1.759e+05i,5.0022e-12-77788i,5.0022e-12+77788i,-9.0949e-13-42014i,-9.0949e-13+42014i,4.5475e-13-33733i,4.5475e-13+33733i,2.7285e-12-24471i,2.7285e-12+24471i,1.3642e-12-11142i,1.3642e-12+11142i,7.9581e-13-4476.7i,7.9581e-13+4476.7i,-4.4054e-13-608.33i,-4.4054e-13+608.33i
4.0927e-12-1.7415e+05i,4.0927e-12+1.7415e+05i,0-1.0376e+05i,0+1.0376e+05i,3.638e-12-60286i,3.638e-12+60286i,7.276e-12-27384i,7.276e-12+27384i,6.3665e-12-17708i,6.3665e-12+17708i,-2.0464e-12-10714i,-2.0464e-12+10714i,-6.8212e-13-7147.1i,-6.8212e-13+7147.1i,9.0949e-13-1229.3i,9.0949e-13+1229.3i
9.0949e-12-4.0396e+05i,9.0949e-12+4.0396e+05i,2.2737e-13-51382i,2.2737e-13+51382i,0-27663i,0+27663i,9.0949e-13-14392i,9.0949e-13+14392i,4.5475e-13-9399.4i,4.5475e-13+9399.4i,1.3642e-12-4574.3i,1.3642e-12+4574.3i,7.5602e-12-1473.7i,7.5602e-12+1473.7i,4.178e-12-474.81i,4.178e-12+474.81i
-1.5916e-12-1.9239e+05i,-1.5916e-12+1.9239e+05i,2.2737e-12-88420i,2.2737e-12+88420i,-5.457e-12-42671i,-5.457e-12+42671i,2.9559e-12-15609i,2.9559e-12+15609i,1.3642e-12-7689i,1.3642e-12+7689i,3.4106e-13-6050.1i,3.4106e-13+6050.1i,-3.3253e-12-3477.7i,-3.3253e-12+3477.7i,1.1369e-13-351.39i,1.1369e-13+351.39i
-8.1855e-12-1.0967e+05i,-8.1855e-12+1.0967e+05i,7.276e-12-91013i,7.276e-12+91013i,1.819e-12-28789i,1.819e-12+28789i,3.8654e-12-16958i,3.8654e-12+16958i,-3.979e-13-13568i,-3.979e-13+13568i,1.3642e-12-10011i,1.3642e-12+10011i,3.4106e-13-2651.6i,3.4106e-13+2651.6i,1.7799e-12-100.29i,1.7799e-12+100.29i
2.2737e-12-1.4891e+05i,2.2737e-12+1.4891e+05i,1.2001e-99-96698i,1.2001e-99+96698i,-4.5475e-13-49591i,-4.5475e-13+49591i,1.819e-12-31775i,1.819e-12+31775i,-3.638e-12-18371i,-3.638e-12+18371i,7.7307e-12-12471i,7.7307e-12+12471i,-1.3642e-12-3143.6i,-1.3642e-12+3143.6i,0-1313.9i,0+1313.9i
9.0949e-13-2.8158e+05i,9.0949e-13+2.8158e+05i,4.9738e-13-46912i,4.9738e-13+46912i,2.6716e-12-40970i,2.6716e-12+40970i,-1.3642e-12-14397i,-1.3642e-12+14397i,-9.0949e-13-8819.8i,-9.0949e-13+8819.8i,-6.2528e-13-6521.2i,-6.2528e-13+6521.2i,-3.979e-13-2298.8i,-3.979e-13+2298.8i,6.2483e-13-443.86i,6.2483e-13+443.86i
3.1832e-12-1.6925e+05i,3.1832e-12+1.6925e+05i,-3.638e-12-78145i,-3.638e-12+78145i,-2.0179e-12-59775i,-2.0179e-12+59775i,7.9581e-13-29203i,7.9581e-13+29203i,1.1369e-12-11469i,1.1369e-12+11469i,-2.5011e-12-7523i,-2.5011e-12+7523i,-4.5475e-13-4602.2i,-4.5475e-13+4602.2i,-9.9476e-13-1014.6i,-9.9476e-13+1014.6i
2.8422e-14-1.1691e+05i,2.8422e-14+1.1691e+05i,1.4779e-12-75409i,1.4779e-12+75409i,-1.6911e-12-29124i,-1.6911e-12+29124i,2.2737e-13-20943i,2.2737e-13+20943i,-1.6485e-12-11530i,-1.6485e-12+11530i,-5.6843e-14-3383.9i,-5.6843e-14+3383.9i,9.0949e-13-2310.7i,9.0949e-13+2310.7i,-1.7852e-13-49.688i,-1.7852e-13+49.688i
-1.0914e-11-1.2964e+05i,-1.0914e-11+1.2964e+05i,1.7053e-12-87438i,1.7053e-12+87438i,-2.9559e-12-34503i,-2.9559e-12+34503i,-2.0464e-12-21738i,-2.0464e-12+21738i,1.2506e-12-10734i,1.2506e-12+10734i,1.4211e-12-1942.5i,1.4211e-12+1942.5i,1.0232e-12-4272.8i,1.0232e-12+4272.8i,2.2737e-13-3474.9i,2.2737e-13+3474.9i
3.638e-12-1.2384e+05i,3.638e-12+1.2384e+05i,-2.7285e-12-70598i,-2.7285e-12+70598i,5.457e-12-34818i,5.457e-12+34818i,3.8654e-12-19317i,3.8654e-12+19317i,7.3896e-13-10773i,7.3896e-13+10773i,-1.6378e-12-4602.7i,-1.6378e-12+4602.7i,-1.7053e-12-3441.8i,-1.7053e-12+3441.8i,-5.6843e-14-1415.5i,-5.6843e-14+1415.5i
-2.7853e-12-1.9632e+05i,-2.7853e-12+1.9632e+05i,-1.0232e-12-95123i,-1.0232e-12+95123i,-2.2737e-12-72824i,-2.2737e-12+72824i,-1.819e-12-33435i,-1.819e-12+33435i,2.5011e-12-23980i,2.5011e-12+23980i,-6.8212e-12-15728i,-6.8212e-12+15728i,1.6485e-12-2927.2i,1.6485e-12+2927.2i,1.9433e-12-221.98i,1.9433e-12+221.98i
4.5475e-12-2.5575e+05i,4.5475e-12+2.5575e+05i,-3.638e-12-1.5351e+05i,-3.638e-12+1.5351e+05i,-1.1823e-11-90313i,-1.1823e-11+90313i,-3.638e-12-56404i,-3.638e-12+56404i,2.2737e-12-19577i,2.2737e-12+19577i,1.4211e-13-14780i,1.4211e-13+14780i,-1.5916e-12-4004.5i,-1.5916e-12+4004.5i,-8.5265e-13-1823.5i,-8.5265e-13+1823.5i
2.0009e-11-3.5502e+05i,2.0009e-11+3.5502e+05i,-4.3201e-12-1.7146e+05i,-4.3201e-12+1.7146e+05i,6.3665e-12-75854i,6.3665e-12+75854i,-3.638e-12-41593i,-3.638e-12+41593i,-1.819e-12-20211i,-1.819e-12+20211i,3.6557e-12-13028i,3.6557e-12+13028i,-6.1391e-12-3409.2i,-6.1391e-12+3409.2i,-3.4959e-12-831.41i,-3.4959e-12+831.41i
5.457e-12-1.2298e+05i,5.457e-12+1.2298e+05i,-5.6843e-13-59839i,-5.6843e-13+59839i,2.16e-12-37594i,2.16e-12+37594i,-1.7053e-12-18689i,-1.7053e-12+18689i,-2.2737e-12-14345i,-2.2737e-12+14345i,-2.2737e-12-8391.7i,-2.2737e-12+8391.7i,-2.2737e-12-5790.9i,-2.2737e-12+5790.9i,1.0303e-12-371.98i,1.0303e-12+371.98i
0-1.605e+05i,0+1.605e+05i,1.1335e-77-91752i,1.1335e-77+91752i,-4.2064e-12-47990i,-4.2064e-12+47990i,0-23002i,0+23002i,-1.3642e-12-12101i,-1.3642e-12+12101i,4.8885e-12-7077.8i,4.8885e-12+7077.8i,-5.4001e-13-1926.3i,-5.4001e-13+1926.3i,1.9895e-12-4522.1i,1.9895e-12+4522.1i
-4.0927e-12-2.3289e+05i,-4.0927e-12+2.3289e+05i,0-1.3415e+05i,0+1.3415e+05i,-2.2737e-12-82768i,-2.2737e-12+82768i,2.7285e-12-30635i,2.7285e-12+30635i,-2.2737e-12-14868i,-2.2737e-12+14868i,-2.2737e-13-7811.4i,-2.2737e-13+7811.4i,-1.4495e-12-1494.4i,-1.4495e-12+1494.4i,-1.3642e-12-4867.5i,-1.3642e-12+4867.5i
2.0464e-12-1.6096e+05i,2.0464e-12+1.6096e+05i,-2.2737e-12-97930i,-2.2737e-12+97930i,-2.7285e-12-47324i,-2.7285e-12+47324i,2.2737e-13-39275i,2.2737e-13+39275i,6.3665e-12-26174i,6.3665e-12+26174i,2.2737e-12-16042i,2.2737e-12+16042i,-2.8422e-12-3896.1i,-2.8422e-12+3896.1i,4.5475e-13-2723.6i,4.5475e-13+2723.6i
7.276e-12-1.9063e+05i,7.276e-12+1.9063e+05i,-4.8033e-12-1.0368e+05i,-4.8033e-12+1.0368e+05i,-4.5475e-13-54297i,-4.5475e-13+54297i,4.5475e-12-28090i,4.5475e-12+28090i,5.4285e-12-24082i,5.4285e-12+24082i,1.9043e-12-10624i,1.9043e-12+10624i,3.2969e-12-3814.6i,3.2969e-12+3814.6i,5.1159e-13-994.74i,5.1159e-13+994.74i
1.3642e-12-1.3393e+05i,1.3642e-12+1.3393e+05i,-2.2737e-12-89133i,-2.2737e-12+89133i,-3.1832e-12-53990i,-3.1832e-12+53990i,2.7285e-12-23445i,2.7285e-12+23445i,-2.7853e-12-14587i,-2.7853e-12+14587i,-1.1369e-12-9647.2i,-1.1369e-12+9647.2i,-9.0949e-13-5261.5i,-9.0949e-13+5261.5i,8.8107e-13-957.88i,8.8107e-13+957.88i
-6.8212e-12-1.9465e+05i,-6.8212e-12+1.9465e+05i,3.7517e-12-79767i,3.7517e-12+79767i,-1.819e-12-36088i,-1.819e-12+36088i,2.8422e-12-29775i,2.8422e-12+29775i,1.7053e-12-10280i,1.7053e-12+10280i,9.0949e-13-1509.7i,9.0949e-13+1509.7i,1.1369e-13-5053.9i,1.1369e-13+5053.9i,4.5475e-13-4463.8i,4.5475e-13+4463.8i
3.6948e-13-17040i,3.6948e-13+17040i,7.1054e-13-11694i,7.1054e-13+11694i,-2.3448e-13-6487.2i,-2.3448e-13+6487.2i,-1.1369e-13-2745.6i,-1.1369e-13+2745.6i,-4.1922e-13-1551.1i,-4.1922e-13+1551.1i,2.7356e-13-416.52i,2.7356e-13+416.52i,-6.3949e-14-230.12i,-6.3949e-14+230.12i,-1.1724e-13-74.736i,-1.1724e-13+74.736i
3.4106e-12-61998i,3.4106e-12+61998i,-1.8758e-12-22853i,-1.8758e-12+22853i,-9.0949e-13-11672i,-9.0949e-13+11672i,4.7251e-13-6469.4i,4.7251e-13+6469.4i,0-3180i,0+3180i,-6.537e-13-1915.5i,-6.537e-13+1915.5i,1.0587e-12-515.63i,1.0587e-12+515.63i,2.7001e-13-180.5i,2.7001e-13+180.5i
-2.16e-12-1.7709e+05i,-2.16e-12+1.7709e+05i,2.3874e-12-67130i,2.3874e-12+67130i,2.9559e-12-49951i,2.9559e-12+49951i,1.3642e-12-31856i,1.3642e-12+31856i,1.2506e-12-14370i,1.2506e-12+14370i,8.5265e-13-7195.2i,8.5265e-13+7195.2i,1.8758e-12-5000.3i,1.8758e-12+5000.3i,8.5265e-14-189.44i,8.5265e-14+189.44i
4.5475e-12-2.3189e+05i,4.5475e-12+2.3189e+05i,6.8212e-13-92500i,6.8212e-13+92500i,0-42855i,0+42855i,6.3665e-12-32525i,6.3665e-12+32525i,4.5475e-12-10179i,4.5475e-12+10179i,1.5916e-12-6826.7i,1.5916e-12+6826.7i,3.6948e-13-3327.9i,3.6948e-13+3327.9i,-2.2737e-13-3988i,-2.2737e-13+3988i
1.819e-12-1.9569e+05i,1.819e-12+1.9569e+05i,1.819e-12-92409i,1.819e-12+92409i,2.2737e-12-61487i,2.2737e-12+61487i,-2.2737e-12-30895i,-2.2737e-12+30895i,-6.8212e-13-18524i,-6.8212e-13+18524i,-5.7412e-12-10789i,-5.7412e-12+10789i,-9.0949e-13-4905.2i,-9.0949e-13+4905.2i,3.5811e-12-526.13i,3.5811e-12+526.13i
0-1.2756e+05i,0+1.2756e+05i,-6.3665e-12-87097i,-6.3665e-12+87097i,-3.638e-12-31833i,-3.638e-12+31833i,1.819e-12-20977i,1.819e-12+20977i,1.3642e-12-12402i,1.3642e-12+12402i,6.8212e-13-8463.5i,6.8212e-13+8463.5i,3.2117e-12-5615.8i,3.2117e-12+5615.8i,0-2296.3i,0+2296.3i
-1.3642e-12-1.6548e+05i,-1.3642e-12+1.6548e+05i,7.276e-12-92164i,7.276e-12+92164i,1.1369e-13-38911i,1.1369e-13+38911i,1.5206e-12-19246i,1.5206e-12+19246i,-4.5475e-13-14150i,-4.5475e-13+14150i,-4.5475e-13-9459.6i,-4.5475e-13+9459.6i,-1.8758e-12-5284i,-1.8758e-12+5284i,1.5419e-12-1357.3i,1.5419e-12+1357.3i
7.9581e-12-1.5105e+05i,7.9581e-12+1.5105e+05i,1.2506e-12-91779i,1.2506e-12+91779i,-9.0949e-13-35467i,-9.0949e-13+35467i,-1.08e-12-18758i,-1.08e-12+18758i,2.5011e-12-16558i,2.5011e-12+16558i,-4.2064e-12-8730.3i,-4.2064e-12+8730.3i,-9.9476e-13-3204.9i,-9.9476e-13+3204.9i,-1.1653e-12-352i,-1.1653e-12+352i
-3.4106e-12-1.1372e+05i,-3.4106e-12+1.1372e+05i,-1.819e-12-78363i,-1.819e-12+78363i,-1.1369e-12-31336i,-1.1369e-12+31336i,2.9559e-12-23394i,2.9559e-12+23394i,4.8885e-12-14432i,4.8885e-12+14432i,-3.1832e-12-8995.4i,-3.1832e-12+8995.4i,9.0949e-13-4258.9i,9.0949e-13+4258.9i,-1.2648e-12-31.383i,-1.2648e-12+31.383i
1.819e-12-1.1011e+05i,1.819e-12+1.1011e+05i,6.3665e-12-92437i,6.3665e-12+92437i,1.819e-12-35481i,1.819e-12+35481i,5.9117e-12-19706i,5.9117e-12+19706i,-1.819e-12-14556i,-1.819e-12+14556i,-3.4106e-12-8594.6i,-3.4106e-12+8594.6i,1.1369e-13-4552.7i,1.1369e-13+4552.7i,-1.4211e-13-320.56i,-1.4211e-13+320.56i
-4.7748e-12-1.0679e+05i,-4.7748e-12+1.0679e+05i,6.8212e-12-83931i,6.8212e-12+83931i,-3.638e-12-34580i,-3.638e-12+34580i,-1.819e-12-20836i,-1.819e-12+20836i,4.5475e-13-15117i,4.5475e-13+15117i,1.3642e-12-8014.6i,1.3642e-12+8014.6i,-2.7853e-12-4039.1i,-2.7853e-12+4039.1i,-9.9476e-13-904.44i,-9.9476e-13+904.44i
-1.819e-11-2.9149e+05i,-1.819e-11+2.9149e+05i,2.2737e-13-1.1475e+05i,2.2737e-13+1.1475e+05i,-3.5527e-12-59420i,-3.5527e-12+59420i,-3.2401e-12-29765i,-3.2401e-12+29765i,-4.5475e-12-10114i,-4.5475e-12+10114i,1.7621e-12-7352.5i,1.7621e-12+7352.5i,-2.2737e-13-3812.2i,-2.2737e-13+3812.2i,1.6698e-12-153.5i,1.6698e-12+153.5i
1.0914e-11-2.0637e+05i,1.0914e-11+2.0637e+05i,0-1.2112e+05i,0+1.2112e+05i,-2.5011e-12-59372i,-2.5011e-12+59372i,-1.5348e-12-27906i,-1.5348e-12+27906i,4.5475e-13-12592i,4.5475e-13+12592i,-1.1369e-12-7946.6i,-1.1369e-12+7946.6i,5.2296e-12-1574.4i,5.2296e-12+1574.4i,4.4622e-12-5281.5i,4.4622e-12+5281.5i
-3.638e-12-2.2481e+05i,-3.638e-12+2.2481e+05i,1.1369e-12-1.319e+05i,1.1369e-12+1.319e+05i,-4.0927e-12-67214i,-4.0927e-12+67214i,-1.6485e-12-27501i,-1.6485e-12+27501i,-1.3642e-12-18933i,-1.3642e-12+18933i,-7.276e-12-9578.8i,-7.276e-12+9578.8i,-3.979e-12-5823.5i,-3.979e-12+5823.5i,1.1227e-11-710.94i,1.1227e-11+710.94i
1.819e-12-2.8329e+05i,1.819e-12+2.8329e+05i,0-1.2418e+05i,0+1.2418e+05i,-9.0949e-13-57198i,-9.0949e-13+57198i,-1.3642e-12-22700i,-1.3642e-12+22700i,8.6402e-12-10483i,8.6402e-12+10483i,-1.2506e-12-7602.6i,-1.2506e-12+7602.6i,6.8212e-13-1674.2i,6.8212e-13+1674.2i,-6.4801e-12-3934.4i,-6.4801e-12+3934.4i
-1.0914e-11-3.1271e+05i,-1.0914e-11+3.1271e+05i,-1.3642e-11-1.3421e+05i,-1.3642e-11+1.3421e+05i,2.3306e-12-56485i,2.3306e-12+56485i,-7.9581e-13-20250i,-7.9581e-13+20250i,2.5011e-12-17917i,2.5011e-12+17917i,1.1369e-12-11034i,1.1369e-12+11034i,3.6948e-12-1125.5i,3.6948e-12+1125.5i,2.899e-12-2996.3i,2.899e-12+2996.3i
1.2278e-11-2.4653e+05i,1.2278e-11+2.4653e+05i,3.2969e-12-96043i,3.2969e-12+96043i,3.2685e-12-47067i,3.2685e-12+47067i,9.0949e-13-41321i,9.0949e-13+41321i,2.2737e-13-15745i,2.2737e-13+15745i,-2.5011e-12-12094i,-2.5011e-12+12094i,1.1653e-12-1767.3i,1.1653e-12+1767.3i,-1.3074e-12-4714.7i,-1.3074e-12+4714.7i
1.7053e-12-1.1295e+05i,1.7053e-12+1.1295e+05i,0-84916i,0+84916i,-1.819e-12-27273i,-1.819e-12+27273i,4.5475e-13-15977i,4.5475e-13+15977i,1.3642e-12-12864i,1.3642e-12+12864i,6.8212e-13-8346.4i,6.8212e-13+8346.4i,-2.558e-13-3499.6i,-2.558e-13+3499.6i,2.4256e-12-594.21i,2.4256e-12+594.21i
-2.1032e-12-1.1624e+05i,-2.1032e-12+1.1624e+05i,-3.979e-12-81133i,-3.979e-12+81133i,9.0949e-13-27020i,9.0949e-13+27020i,-2.7285e-12-18157i,-2.7285e-12+18157i,-4.5475e-13-14693i,-4.5475e-13+14693i,1.9895e-12-6477i,1.9895e-12+6477i,-9.0949e-13-4403.4i,-9.0949e-13+4403.4i,3.3609e-12-302.95i,3.3609e-12+302.95i
-2.7285e-12-97935i,-2.7285e-12+97935i,4.0569e-69-55386i,4.0569e-69+55386i,-1.08e-12-29431i,-1.08e-12+29431i,1.0232e-12-18109i,1.0232e-12+18109i,-2.2737e-13-12054i,-2.2737e-13+12054i,-2.9559e-12-8165.5i,-2.9559e-12+8165.5i,1.819e-12-4937.4i,1.819e-12+4937.4i,-1.1831e-12-109.94i,-1.1831e-12+109.94i
-8.2423e-13-1.2823e+05i,-8.2423e-13+1.2823e+05i,9.0949e-13-81363i,9.0949e-13+81363i,0-41422i,0+41422i,-3.979e-12-15676i,-3.979e-12+15676i,-1.1369e-13-11245i,-1.1369e-13+11245i,3.4106e-12-8895.4i,3.4106e-12+8895.4i,7.9581e-13-1419.1i,7.9581e-13+1419.1i,4.5475e-13-4474.7i,4.5475e-13+4474.7i
-3.4106e-12-1.2271e+05i,-3.4106e-12+1.2271e+05i,0-91008i,0+91008i,-1.3642e-12-36280i,-1.3642e-12+36280i,3.7517e-12-18887i,3.7517e-12+18887i,-1.9327e-12-9632.4i,-1.9327e-12+9632.4i,-2.8422e-12-7037.9i,-2.8422e-12+7037.9i,4.6612e-12-3084.7i,4.6612e-12+3084.7i,3.1264e-13-430.42i,3.1264e-13+430.42i
